2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10712285-75'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10712285-77'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10712285-97'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10742656-28'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10742656-42'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10742656-62'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10779605-35'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10779605-38'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10779605-60'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10779605-72'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10779605-90'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10802925-33'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10802925-81'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10802925-86'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10803289-18'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10803289-52'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10803289-73'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10803289-90'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-08'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-19'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-21'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-26'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-40'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-50'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-54'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-83'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10829575-95'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10890900-06'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10890900-14'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10890900-20'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10890900-24'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10890900-32'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10890900-36'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10890900-63'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10890900-79'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-05'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-18'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-48'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-65'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-70'}
